paper_id,paper_title,main_classification,subclassification,focus,main_contribution,context,data_collection,tries_to_help_users_to,summary_tries_to_help_to,keywords,sample_size,sample_demographics,sample_recruitment,user_compensation,user_level,domain,publication_type,authors,year,venue
P60,CoPE: Enabling collaborative privacy management in online social networks,Control Information Disclosure,Negotiation and conflict resolution,Collective privacy management problem,"Propose a simple, yet effective, mechanism to support joint management of shared content among users who post content in OSNs and users whose private information is revealed in the posted content",Privacy settings: joint management of shared content among users who post content in OSNs and users whose private information is revealed in the posted content.,Proof-of-concept,collaboratively control their shared personal information,manage multiparty privacy,-,80,academic community,offline,N/A,lay,Social Networks,Journal Article,"Such, Jose M.; Criado, Natalia",2011,Journal of the American Society for Information Science and Technology
P61,DAPIS: An ontology-based data protection icon set,Raise Privacy Awareness,Improving visual presentation,the development and use of privacy icons to support visual representation,"Present DaPIS, a machine-readable Data Protection Icon Set that was designed following human-centered methods drawn from the emerging discipline of Legal Design.",Privacy policies: comprehensibility through the use of privacy icons,"Lab. exp, workshops",have in a clearly legible manner a meaningful overview of the intended processing,raise knowledge of privacy policies,Data protection; Icons; Legal design; Ontology; Semantic technologies; Transparency,42,academic community,online,N/A,mixed,Online Services,Conference Paper,"Rossi A., Palmirani M.",2018,2018 International Conference on Law via the Internet
P62,Data Dashboard: Exploring Centralization and Customization in Personal Data Curation,Control Information Disclosure,Control Information Disclosure,Privacy dashboard,"Present data Dashboard, a prototype system that provides: 1) a centralized overview of data from across platforms and devices, 2) customizable filters for sorting through many types of data",Personal data management: cloud services,Lab. exp. / Prototype,better curate her data,control information disclosure,Personal data management; personalization,18,general,mixed,direct payment,lay,Online Services,Conference Paper,"Vitale, F.; Chen, J.; Odom, W.; McGrenere, J.",2020,Proceedings of the 2020 ACM Designing Interactive Systems Conference
P63,Data-driven privacy indicators,Raise Privacy Awareness,Analysis of past disclosures,Privacy indicator,Present Data-Driven Privacy Indicators (DDPIs) for 3rd party cloud apps,Privacy visualization:indicate to the user what the app can concretely extract about her or whether the app vendor already has access to her data,Online Exp.,make more informed decisions while minimizing the habituation effect,raise privacy awareness,-,160,general,online,Other,mixed,Software applications,Conference Paper,"Harkous H., Rahman R., Karlas B., Aberer K.",2016,Symposium on Usable Privacy and Security
P64,Deep Learning-Based User Privacy Settings Recommendation in Online Social Networks,Control Information Disclosure,interaction with social networks,Privacy management in OSNs;  recommender-based privacy settings,Propose a deep learning-based method termed PrivacyRec to recommend privacy settings to users,Privacy settings: PrivacyRec which extracts deep representations from the user’s account information to recommend user-level privacy settings,Experiment with dataset,configure privacy settings,manage privacy settings,"Online Social Networks,; Privacy Settings Recommendation; Multi-label Classification; Recurrent Neural Networks; Attention Mechanism",-,N/A,N/A,N/A,N/A,Social Networks,Conference Paper,"Ye Q., Cao Y., Chen Y., Li C., Li X.",2022,Proceedings of the International Joint Conference on Neural Networks
P65,Default privacy setting prediction by grouping user’s attributes and settings preferences,Control Information Disclosure,Recommendation-based,Privacy management,Proposed and evaluated the applicability of SVM-based models to predict default privacy settings of users at the time of registration to service providers,Privacy settings: personalised privacy-by-default settings,Experiment with dataset,set their default privacy settings at the time of registration to Internet services,manage privacy settings,Privacy preference; Privacy setting; Machine learning,10000,general,online,N/A,N/A,Online Services,Journal Article,"Nakamura T., Tesfay W.B., Kiyomoto S., Serna J.",2017,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)
P66,Design and implementation of a CBR-based privacy agent,Control Information Disclosure,Manage Privacy Settings,Recommender-based privacy settings,Present a first design and implementation of an agent with such capabilities; ,"Privacy settings: based on Case Based Reasoning (CBR), which relies on the ability to identify similar situations from the past and use these to provide recommendations in new situations",Lab. exp.,manage privacy online through similarity of privacy practices,manage privacy settings,-,15,academic community,offline,N/A,lay,Online Services,Conference Paper,"Bernsmed K., Tøndel I.A., Nyre Å.A.",2012,"Proceedings - 2012 7th International Conference on Availability, Reliability and Security, ARES 2012"
P67,Designing a GDPR-compliant and usable privacy dashboard,Control Information Disclosure,Control Information Disclosure,Privacy dashboard,"Present the design, implementation, and evaluation of a privacy dashboard for data subjects intending to enable and ease the execution of data privacy rights granted by the GDPR",Privacy dashboard: web browser,Lab. exp.,execute data privacy rights with the tool,control information disclosure,Data privacy; General data protection regulation; Privacy dashboard; Privacy-enhancing tools; Transparency-enhancing tools; Usability,3,Other,NI,NI,expert,Online Services,Conference Paper,"Raschke P., Küpper A., Drozd O., Kirrane S.",2018,"12th Annual IFIP Summer School on Privacy and Identity Management, 2017"
P68,Designing privacy indicators for smartphone app markets: A new perspective on the nature of privacy risks of apps,Raise Privacy Awareness,Risk communication,Privacy indicator,Present and experimentally test a new design for privacy indicators for apps in app markets - based in design warning theory,Privacy indicators:apps lists are enriched with visual indicators of apps’ privacy rating,Proof-of-concept,make informed decisions regarding app selection,raise privacy awareness,Information privacy; smartphone privacy; warnings; app markets,37,general,NI,NI,lay,Software applications,Conference Paper,Bal G.,2014,"20th Americas Conference on Information Systems, AMCIS 2014"
P69,Detecting and predicting privacy violations in online social networks,Control Information Disclosure,Control Information Disclosure,Privacy management in OSNs,"Propose PROT OSS, a run time tool to detect and predict possible privacy breaches in online social networks.",Privacy monitoring: PROTOSS uses commitments and model checking to detect privacy violations in OSNs.,Experiment with dataset,take necessary actions to avoid privacy violations,control information disclosure,Privacy-preserving social networking techniques; Model checking; Ontological reasoning; Commitments,-,N/A,N/A,N/A,N/A,Social Networks,Journal Article,"Kafali O., Günay A., Yolum P.",2014,Distributed and Parallel Databases
P70,Detecting and resolving privacy conflicts for collaborative data sharing in online social networks,Control Information Disclosure,Negotiation and conflict resolution,Privacy management,Provide a systematic mechanism to identify and resolve privacy conflicts for collaborative data sharing,Privacy settings: conflict resolution approach balances the need for privacy protection and the users’ desire for information sharing by quantitative analysis of privacy risk and sharing loss.,Proof-of-concept,have control over data residing outside their space,manage multiparty privacy,Social Networks; Collaborative; Data Sharing; Privacy Conflict; Access Control,30,academic community,online,N/A,lay,Social Networks,Conference Paper,"Hu H., Ahn G.-J., Jorgensen J.",2011,ACM International Conference Proceeding Series
P71,Does this App Really Need My Location?: Context-Aware Privacy Management for Smartphones,Control Information Disclosure,Permission granting on mobile applications,Android permission model,Design and implementation of our ProtectMyPrivacy app for Android. PmP supports a novel feature of both App- and Library-based privacy control for accesses to sensitive data.,"Privacy settings: App+Library based controls, to reduce privacy decisions made by users, since several apps use the same 3rd party library.",In the wild (google play / xstore),better protected from their data being sent to third-party libraries as compared to the current App-only model,manage privacy settings,Privacy; Permissions Model; Third Party Libraries; Purpose; Android,1321,general,App store,N/A,mixed,Software applications,Journal Article,"Chitkara, Saksham; Gothoskar, Nishad; Harish, Suhas; Hong, Jason I.; Agarwal, Yuvraj",2017,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies"
P72,ELVIRA: an Explainable Agent for Value and Utility-driven Multiuser Privacy,Control Information Disclosure,Negotiation and conflict resolution,Privacy conflict resolution multi-agent systems,"Present ELVIRA, an agent that supports multiuser privacy, providing explainability, role-agnosticism, adaptability, and being utility- and value-drive","Privacy settings: by considering the sharing preferences and the moral values of users, ELVIRA identifies the optimal sharing policy",Online Exp.,collaboratively deal with Multiuser Privacy Conflicts (MPCs),manage multiparty privacy,Multiuser Privacy; Explainable Agents; Value-based Agents; HumanAgent Interaction; Practical Reasoning,321,general,online,direct payment,lay,Social Networks,Conference Paper,"Mosca F., Such J.M.",2021,"Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS"
P73,Enabling user privacy in identity management systems,Control Information Disclosure,Control Information Disclosure,Privacy management,Propose a privacy module for user’s devices to automatically enforce privacy protection in identity management environments,"Privacy settings: user defines privacy preferences for each service type and the personal attributes that authorises to deliver under specific conditions (retention, purpose, recipient )",Motivating example,ensure control on their personal data and to automatically fulfil legislative requirements,control information disclosure,"Privacy; Privacy policies; User contro;, P3P; XACML",-,N/A,N/A,N/A,N/A,Online Services,Conference Paper,"Bekara K., Laurent M.",2010,"Proceedings 2010 IEEE International Conference on Information Theory and Information Security, ICITIS 2010"
P74,"Enhancing privacy through the visual design of privacy notices: Exploring the interplay of curiosity, control and affect",Control Information Disclosure,Control Information Disclosure,Privacy notices,Demonstrate that affect moderates the relationship between privacy concerns and disclosure and that visual design of privacy notices may have a beneficial influence on personal information disclosures,Privacy notices: visual design (framing and control),Online exp.,make more informed privacy decisions which are aligned with their beliefs,control information disclosure,-,620,general,crowd sourcing platform,payment from the plataform used,mixed,Online Services,Conference Paper,"Kitkowska A., Warner M., Shulman Y., Wästlund E., Martucci L.A.",2020,"16th Symposium on Usable Privacy and Security, SOUPS 2020"
P75,Enhancing the privacy risk awareness of teenagers in online social networks through soft-paternalism mechanisms,Raise Privacy Awareness,Risk communication,Privacy notification,Focus on providing soft-paternalism mechanisms that integrate a privacy risk estimation (PRS) of the action that users are going to perform.,"Information disclosure: the proposed mechanisms “nudge” users to reconsider the disclosure actions before performing – an attempt to influence users’ decision making to improve their privacy, without actually limiting users’ ability to choose freely.",Field study,make better decisions about actions in social networks that may increase their privacy risks,raise privacy awareness,Behavioral bias; Online disclosure; Privacy; Soft-paternalism,42,age,online,N/A,mixed,Social Networks,Journal Article,"Alemany J., del Val E., Alberola J., García-Fornes A.",2019,International Journal of Human Computer Studies
P76,Estimation of privacy risk through centrality metrics,Raise Privacy Awareness,Risk communication,privacy score of the user interaction in social networks,Propose a Privacy Risk Score (PRS) for measuring the privacy in social networks,Information sharing: the Privacy Risk Score metric proposed in this paper deals with this problem 160 by providing information about the potential privacy risk of an action,Experiment with dataset,be aware of the reachability of their publications in the social network even though they have restricted the visibility of their publications,raise privacy awareness,Privacy; Social Networks; Information Sharing,-,N/A,N/A,N/A,N/A,Software applications,Journal Article,"Alemany J., del Val E., Alberola J., García-Fornes A.",2018,Future Generation Computer Systems
P77,Evaluation of the reliability of using the prototype PPMARK - A tool to support the computer human interaction in readings the privacy policies - Using the GQM and TAM models,Raise Privacy Awareness,Improving querying and readability,automated privacy policy extraction and summarisation,"Assess the users' confidence on the information extracted by the PPmark prototype, a tool proposed to support the reading of privacy policies - using the GQM and TAM models",Privacy policy: automatic extraction of data collection and sharing information from privacy policies,Online Exp.,understand policy terms and encourage them to pay attention to what is being collected,raise knowledge of privacy policies,Privacy-policies; Users; Confidence; Usability; Accessibility; PPmark.,40,academic community,NI,NI,lay,Online Services,Conference Paper,"Pontes D.R.G., Zorzo S.D., de Mello J.S.M.",2017,AMCIS 2017 - America's Conference on Information Systems: A Tradition of Innovation
P78,Expectation and purpose: understanding users' mental models of mobile app privacy through crowdsourcing,Raise Privacy Awareness,Risk communication,decision making supported by crowdsourcing,Proposed a new privacy summary interface that highlights common misconceptions that other users have and the purpose of a resource access.,Privacy settings: privacy summary interface highlighting the purposes of sensitive resource usage and people’s perceptions about app’s behaviors,Online exp.,make better trust decision,raise privacy awareness,Mental model; Privacy as expectations; Privacy summary; Crowdsourcing; Android permissions; Mobile app,20,general,crowd sourcing platform,payment from the plataform used,mixed,Software applications,Conference Paper,"Lin, Jialiu; Amini, Shahriyar; Hong, Jason I.; Sadeh, Norman; Lindqvist, Janne; Zhang, Joy",2012,Proceedings of the 2012 ACM Conference on Ubiquitous Computing
P79,Explainable and Personalized Privacy Prediction,Control Information Disclosure,Control Information Disclosure,Privacy of images,Propose a configurable privacy prediction system that addresses some of the major drawbacks of the existing methods while still achieving state-of the art performance.,"Image classification: privacy prediction system that simultaneously incorporates features such as personalisation, explainability, configurability, customisability and responsiveness to user's changing privacy requirements",Motivating Example,include their privacy preferences and tweak the system according to their requirements,control information disclosure,Privacy Prediction; Explainability; Information Leakage Prevention,-,N/A,N/A,N/A,N/A,Social Networks,Conference Paper,"Dammu P.P.S., Chalamala S.R., Singh A.K.",2021,CEUR Workshop Proceedings
P80,Extending Layered Privacy Language to Support Privacy Icons for a Personal Privacy Policy User Interface,Control Information Disclosure,Control Information Disclosure,Consent,Present an extension for the Layered Privacy Language (LPL) to support multi-lingual human-readable descriptions and privacy icons,Informed consent: The intention is to use an Overview with privacy icons to inform the Data Subject ‘at first glance’.,Lab. exp,make informed consent,control information disclosure,GDPR; Personal Privacy; Privacy Icons; Privacy Language; Usable Privacy,10,general,NI,NI,lay,Online Services,Conference Paper,Gerl A.,2018,Proceedings of the 32nd International BCS Human Computer Interaction Conference
P81,Eyeing your exposure: quantifying and controlling information sharing for improved privacy,Control Information Disclosure,Control Information Disclosure,Privacy visualisation,present an unobtrusive and intuitive ambient interface based on the metaphor of eyes for providing exposure feedback and reactive sharing controls to users of context sharing applications.,Privacy notification: developing an exposure control solution - uses the visual metaphor of eyes to provide users with feedback about their exposure,Lab. exp.,better reign in excessive sharing and improve their privacy / take actions to limit their exposure,control information disclosure,Privacy; location sharing; exposure feedback,40,general,online,direct payment,mixed,Software applications,Conference Paper,"Schlegel, Roman; Kapadia, Apu; Lee, Adam J.",2011,Proceedings of the Seventh Symposium on Usable Privacy and Security - SOUPS '11
P82,Finding a Choice in a Haystack: Automatic Extraction of Opt-Out Statements from Privacy Policy Text,Control Information Disclosure,Manage Privacy Settings,Privacy policies opt-out choices,A method for the automated detection of opt-out choices in privacy policy text and their presentation to users through a web browser extension,Notice and choice: automatically identify opt-out choices in the text of policies,Lab. exp.,make use of these opt-out choices,manage privacy settings,Privacy; machine learning; opt-out; privacy policy; text analysis,8,academic community,offline,direct payment,mixed,Online Services,Conference Paper,"Bannihatti Kumar, Vinayshekhar; Iyengar, Roger; Nisal, Namita; Feng, Yuanyuan; Habib, Hana; Story, Peter; Cherivirala, Sushain; Hagan, Margaret; Cranor, Lorrie; Wilson, Shomir; Schaub, Florian; Sadeh, Norman",2020,Proceedings of The Web Conference 2020
P83,Follow My Recommendations: A Personalized Privacy Assistant for Mobile App Permissions,Control Information Disclosure,Recommendation-based,permission management through recommender-based systems,Propose a methodology to learn privacy profiles for permission settings and leverage these profiles in a personalized privacy assistant that actively supports users in configuring their permission settings,Personalized privacy assistant (PPA): profile-based for mobile app permissions,Field study,benefit from a personalized privacy assistant that provides them with recommendations for privacy configuration,manage privacy settings,-,72,general,online,direct payment,mixed,Software applications,Conference Paper,"Liu, Bin; Andersen, Mads Schaarup; Schaub, Florian; Almuhimedi, Hazim; Zhang, Shikun (Aerin); Sadeh, Norman; Agarwal, Yuvraj; Acquisti, Alessandro",2016,Twelfth Symposium on Usable Privacy and Security (SOUPS 2016)
P84,Formal specification and verification of user-centric privacy policies for ubiquitous systems,Control Information Disclosure,Recommendation-based,providing mathematical models and algorithms that enables the creations and management of privacy norms for individual users,Extend the concept of contextual integrity to provide mathematical models and algorithms that enables the creations and management of privacy norms for individual users,Privacy management: a privacy formalism and verification engine to specify and model privacy from the user’s perspective - smart devices and IoT,Proof of concept,express their privacy intentions as a structured input.,manage privacy settings,Privacy; Formal Methods; User-Centric Policies,-,N/A,N/A,N/A,N/A,Internet of Things,Conference Paper,"Joshaghani, Rezvan; Black, Stacy; Sherman, Elena; Mehrpouyan, Hoda",2019,Proceedings of the 23rd International Database Applications & Engineering Symposium on - IDEAS '19
P85,From Design Requirements to Effective Privacy Notifications: Empowering Users of Online Services to Make Informed Decisions,Control Information Disclosure,Control Information Disclosure,Privacy Notifications,Contribute to the body of knowledge by providing a proof of concept in the form of a prototypical implementation of a TET that facilitates usable transparency by harnessing privacy notifications.,Privacy notices: issued by Transparency Enhancing Tools (TETs) on mobile,Lab. exp,make informed decision,control information disclosure,-,16,general,mixed,vouchers,mixed,Software applications,Journal Article,"Murmann P., Karegar F.",2021,International Journal of Human-Computer Interaction
P86,From tag to protect: A tag-driven policy recommender system for image sharing,Control Information Disclosure,interaction with social networks,recommendation-based privacy settings for image sharing,"Propose a privacy setting recommender system, called T2P (Tag-To-Protect), to help people effortlessly set up the privacy settings for their online images",Privacy settings: a multi-pronged mechanism that carefully analyzes tags’ semantics and co-presence to derive a set of suitable privacy settings for a newly uploaded image.,Online Exp.,be released from the burden of defining and customizing privacy policy settings,manage privacy settings,-,71,N/A,crowd sourcing platform,payment from the plataform used,N/A,Social Networks,Conference Paper,"Squicciarini A.C., Novelli A., Lin D., Caragea C., Zhong H.",2018,"Proceedings - 2017 15th Annual Conference on Privacy, Security and Trust, PST 2017"
P87,Have you been properly notified? automatic compliance analysis of privacy policy text with GDPR article 13,Raise Privacy Awareness,Enabling privacy policy assessment,checking compliance with GDPR Article 13,Propose an approach to automatically analysis the privacy policy contents and report violations against GDPR (Article 13).,Privacy policy: automatic analysis for regulation compliance (GDPR Article 13) with developed AutoCompliance tool,Lab. exp,find and understand the compliance issues in privacy policies / relieve efforts in checking the compliance of privacy policies in accordance with GDPR Article 13,raise knowledge of privacy policies,Compliance Analysis; Natural Language Processing; Privacy,10,general,online,direct payment,mixed,Online Services,Conference Paper,"Liu S., Zhao B., Guo R., Meng G., Zhang F., Zhang M.",2021,"The Web Conference 2021 - Proceedings of the World Wide Web Conference, WWW 2021"
P88,Helping john to make informed decisions on using social login,Control Information Disclosure,Control Information Disclosure,Permission dialogue in IdPs,"Develop and evaluate the means to empower users to make informed decisions, in the context of the social login methods",Permission dialogue for IdP consent,Lab. exp.,make informed decisions in the context of signing up for an SP using a social network as an IdP,control information disclosure,GDPR; Informed decision; Privacy by design; Single sign-on; Usable privacy,80,general,mixed,N/A,mixed,Online Services,Conference Paper,"Karegar F., Gerber N., Volkamer M., Fischer-Hübner S.",2018,"33rd Annual ACM Symposium on Applied Computing, SAC 2018"
P89,Helping Users Managing Context-based Privacy Preferences,Control Information Disclosure,Manage Privacy Settings,Privacy settings under different contexts,Design a service helping users to manage privacy preferences setting when they move from one context to another,Privacy settings: the main idea is to infer the best privacy preferences for the new context leveraging on privacy preferences previously specified by the user for different contexts,Experiment with dataset,manage their privacy preferences setting under different contexts,manage privacy settings,Context awareness; privacy preferences; learning; context-based services.,-,N/A,N/A,N/A,N/A,Online Services,Conference Paper,"Alom M.Z., Carminati B., Ferrari E.",2019,"Proceedings - 2019 IEEE International Conference on Services Computing, SCC 2019 - Part of the 2019 IEEE World Congress on Services"
P90,HideMe: Privacy-Preserving Photo Sharing on Social Networks,Control Information Disclosure,Manage Multiparty Privacy,Privacy of images,"Propose the design, implementation and evaluation of HideMe, a framework to preserve the associated users’ privacy for online photo sharing","Privacy settings: user sets its policy and when a photo is uploaded, HideMe identifies all faces and obtains the relative user IDs from OSNs, and then associates the corresponding scenarios with this photo",Experiment with dataset,hide their faces on related photos from unwanted viewers by one time policy generation,manage multiparty privacy,-,860,academic community,online,NI,mixed,Social Networks,Conference Paper,"Li F., Sun Z., Li A., Niu B., Li H., Cao G.",2019,Proceedings - IEEE INFOCOM
P91,"If you can't beat them, join them"": A usability approach to interdependent privacy in cloud apps",Control Information Disclosure,Manage Multiparty Privacy,Interdependent privacy in cloud apps,Present history-based Insights as an important technique within the movement from static privacy indicators towards dynamic privacy assistants that lead users to data-driven privacy decisions,Interdependent privacy (collaborators): Cloud apps'authorisation interface: history based privacy indicator,Online exp.,reduce privacy loss on herself and on her collaborators too,manage multiparty privacy,-,141,general,crowd sourcing platform,payment from the plataform used,mixed,Software applications,Conference Paper,"Harkous H., Aberer K.",2017,"7th ACM Conference on Data and Application Security and Privacy, CODASPY 2017"
P92,"If you can't measure it, you can't manage it: Towards quantification of privacy policies",Raise Privacy Awareness,Enabling privacy policy assessment,"approach to quantify the amount of data collection of an application by analyzing its privacy policy, allowing users to compare policies",Propose an approach to quantify the amount of data collection of an application by analyzing its privacy policy text using natural language processing (NLP) techniques,Privacy policy: designing a visceral notice that leverages user’s experience to seamlessly communicate privacy information,Proof-of-concept,compare different application alternatives based on their data gathering practices.,raise knowledge of privacy policies,Usable Privacy; Privacy Notice; Natural Language Processing.,-,N/A,N/A,N/A,N/A,Software applications,Conference Paper,"Alohaly M., Takabi H.",2017,"Proceedings - 2016 IEEE 2nd International Conference on Collaboration and Internet Computing, IEEE CIC 2016"
P93,Incognitus: Privacy-Preserving User Interests in Online Social Networks,Control Information Disclosure,Control Information Disclosure,Privacy management in OSNs,Propose Incognitus: an approach to allow users browse Pages of OSNs without disclosing their interests or activity to the service provider,Information sharing: the approach provides a incognito mode of operation when browsing privacy-sensitive content,Prototype,receive updates about privacy-sensitive issues that may not be willing to disclose their personal preferences and interests,control information disclosure,-,-,N/A,N/A,N/A,N/A,Social Networks,Journal Article,"Kornilakis A., Papadopoulos P., Markatos E.",2019,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)
P94,Incorporating individual and group privacy preferences in the internet of things,Control Information Disclosure,Negotiation and conflict resolution,group privacy in IoT,Propose a privacy negotiation mechanism to allow IoT users to automatically express and enforce their personal privacy preferences while interacting with IoT deployments.,Privacy management: enforcement of user's personal privacy preferences in a seamless manner while interacting with IoT deployments.,Experiment,negotiate their privacy preferences seamlessness in a IoT deployment,manage multiparty privacy,Privacy; Group privacy; Internet of things; Privacy negotiation,-,N/A,N/A,N/A,N/A,Internet of Things,Journal Article,"Alanezi, Khaled; Mishra, Shivakant",2022,Journal of Ambient Intelligence and Humanized Computing
P95,Increasing Service Users’ Privacy Awareness by Introducing On-Line Interactive Privacy Features,Control Information Disclosure,Control Information Disclosure,privacy risk in online services in general,"Introduces the concept of On-line Interactive (OI) privacy feature which is defined as any on-line interactive tool, component or user-interface that creates privacy awareness and supports users in understanding their on-line privacy risks",Information disclosure: online interactive privacy feature that supporte users to understand privacy risks.,Lab. exp.,be encouraged to find out more about the uses of their personal data.,control information disclosure,On-line privacy; interactive privacy feature; privacy awareness; privacy concern; usability study; mixed-method research method; privacy transparency; user study; social translucence; HCI.,100,general,online,direct payment,mixed,Online Services,Conference Paper,"Kani-Zabihi, Elahe; Helmhout, Martin",2012,Information Security Technology for Applications
P96,Information flows as a permission mechanism,Control Information Disclosure,Permission granting on mobile applications,Deciding on app installation,"Propose a new permission mechanism based on information flows between permission domains within an app, as well as across multiple apps",Android permission model: display information flows to users at installation time so that users can examine the flows present in an app,In the wild (google play store),decide on whether to install or not an app,manage privacy settings,Android; Permissions; Information Flows,540,academic community,online,N/A,mixed,Software applications,Conference Paper,"Shen, Feng; Vishnubhotla, Namita; Todarka, Chirag; Arora, Mohit; Dhandapani, Babu; Lehner, Eric John; Ko, Steven Y.; Ziarek, Lukasz",2014,Proceedings of the 29th ACM/IEEE international conference on Automated software engineering
P97,Interaction and Visualization Design for User Privacy Interface on Online Social Networks,Raise Privacy Awareness,Risk communication,being more aware of privacy changes when sharing information,Propose a visual model for representing and protecting privacy of online social network users,Information sharing: visual model’s support to end users in privacy policy understanding and privacy exposure,Lab. exp,be more aware of privacy changes and to understand policy options easier,raise privacy awareness,Visual model; User interface design; Information visualization; Privacy awareness; Privacy policy understanding; Online social network,15,academic community,online,N/A,lay,Social Networks,Journal Article,"Dang T.T., Dang K.T., Küng J.",2020,SN Computer Science
P98,Introducing privacy threats from ad libraries to android users through privacy granules,Raise Privacy Awareness,Risk communication,Deciding on app installation,Propose a novel icon-based privacy threat representation as an alternative to permissions list that shows privacy threats to users from both app providers and associated ad libraries.,Privacy settings: replace the current permissions list with an icon-based privacy threat representation,Online Exp.,make an informed decision during app installation,raise privacy awareness,-,409,general,crowd sourcing platform,payment from the plataform used,N/A,Software applications,Conference Paper,"Paturi A., Kelley P.G., Mazumdar S.",2015,NDSS Workshop On Usable Security (USEC)
P99,IoT Service Store: A Web-based System for Privacy-aware IoT Service Discovery and Interaction,Raise Privacy Awareness,Risk communication,Data collection by smart devices,"Propose a design and implementation of a novel web-based system called IoT Service Store (ISS) that allows users to easily browse nearby IoT services, understand the privacy implications of these IoT services, and control the collection and usage of sensor data.",Personal data handling in IoT devices: service discovery and interaction through a preferred privacy settings,Simulation,comprehend the privacy implications of nearby IoT services through gaining a better understanding of the data collected and possible inferences that may be drawn from this data,raise privacy awareness,privacy awareness system; collaborative privacy management; personal information inference; Internet of Things,-,N/A,N/A,N/A,N/A,Internet of Things,Conference Paper,"Lee, H.; Chow, R.; Haghighat, M. R.; Patterson, H.M.; Kobsa, A.",2018,2018 IEEE International Conference on Pervasive Computing and Communications Workshops (PerCom Workshops)
P100,IPAM: Information Privacy Assessment Metric in Microblogging Online Social Networks,Raise Privacy Awareness,Risk communication,assessing privacy policies compliance through privacy scores,"Develop an algorithmic model to compute privacy scores based on the impact of privacy and security requirements, accessibility, and difficulty of information extraction",Analysis of privacy-preserving services: the scores obtained from using the framework can provide users with a means to compare different OSNs and to choose the most adequate for them depending on their risk appetite.,Case study,measure how much the system is protecting privacy,raise privacy awareness,"Online social networks; information privacy protection; information security, metrics; microbloggings; privacy measurements.",-,N/A,N/A,N/A,N/A,Social Networks,Journal Article,"Oukemeni S., Rifa-Pous H., Marques Puig J.M.",2019,IEEE Access
P101,Is Your Home Becoming a Spy? A Data-Centered Analysis and Classification of Smart Connected Home Systems,Raise Privacy Awareness,Raise Privacy Awareness,Privacy in smart homes,Propose a novel privacy grounded classification of smart connected home systems that is focused on personal data exposure,"Analysis of smart connected home systems: focus on data exposure, classifying as app-based acessors, watchers, location harversters and listeners",Case study,better understand the privacy implications and what is at stake with different smart connected home systems.,raise privacy awareness,IoT; smart home; home automation; privacy; unsupervised classification; survey; web mining,-,N/A,N/A,N/A,N/A,Internet of Things,Conference Paper,"Bugeja J., Jacobsson A., Davidsson P.",2020,ACM International Conference Proceeding Series
P102,Knapsack graph-based privacy checking for smart environments,Control Information Disclosure,limited user interface,Privacy management in IoT,The privacy checking problem is envisaged as a knapsack problem - proposed a privacy provision model that relaxes the privacy preference such that the benefits of enabling the service type are maximized while simultaneously minimizing the user dissatisfaction,"Privacy settings: Based on the user-provided settings, the proposed privacy checking algorithm can enable the appropriate services for the user - relaxing some conditions according to the provision model.",Experiment with dataset,relax privacy preferences when beneficial to her,manage privacy settings,Privacy policy checking; User privacy; Data security; Optimization; Knapsack problem; Similarity measurement,30,general,mixed,N/A,mixed,Internet of Things,Journal Article,"Alom Z., Singh B.C., Aung Z., Azim M.A.",2021,Computers and Security
P103,KnIGHT: Mapping Privacy Policies to GDPR,Raise Privacy Awareness,Improving querying and readability,mapping excerpts to GDPR articles,"Presented KnIGHT, a tool for automatic mapping of privacy policies to GDPR",Privacy policy: mapping of excerpts to relavant GDPR articles,Experiment,understand their usage risks and rights as data subjects,raise knowledge of privacy policies,Privacy policy; General Data Protection Regulation; Semantic text matching,-,N/A,N/A,N/A,N/A,Online Services,Conference Paper,"Mousavi Nejad, Najmeh; Scerri, Simon; Lehmann, Jens",2018,Knowledge Engineering and Knowledge Management
P104,LAMP - Label-based access-control for more privacy in online social networks,Control Information Disclosure,interaction with social networks,Privacy management in OSNs,"Propose LAMP, a model that deploys fine grained labelbased access control for information sharing in OSNs",Privacy settings: users in LAMP assign customized labels to their friends and to all types of their information; whereas access requests are evaluated by security properties carefully designed to establish orders between requestor’s and information’s labels,Proof-of-concept,be in full control over data they create at a fine granularity level,manage privacy settings,-,-,N/A,N/A,N/A,N/A,Social Networks,Conference Paper,"Bahri L., Carminati B., Ferrari E., Lucia W.",2016,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)
P105,Learning privacy rules cooperatively in online social networks,Control Information Disclosure,interaction with social networks,Privacy management,Proposes an approach that suggests privacy configurations for each post - a multiagent system architecture where agents of the users consult other users’ agents about possible privacy rules they can take into account,"Privacy settings: suggestions are based on learning from users’ previous posts and configurations; when the user does not have many previous posts, recommendations need to take other information into account",Proof-of-concept,manage her privacy,manage privacy settings,-,-,N/A,N/A,N/A,N/A,Social Networks,Conference Paper,"Kepez B., Yolum P.",2016,ACM International Conference Proceeding Series
